Lal Krishna Advani,"{'Name': 'Lal Krishna Advani', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1927', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Aristide Briand,"{'Name': 'Aristide Briand', 'Gender': 'Unknown', 'Age': 'Unknown', 'Married': False, 'Profession': 'prime minister', 'Alive': False, 'Birthyear': 'Unknown', 'Nationality': 'Unknown', 'Deathyear': 'Unknown', 'Children': False}"
Vicenzio Gotti,"{'Name': 'Vicenzio Gotti', 'Gender': 'Male', 'Age': 'Unknown', 'Married': False, 'Profession': 'painter', 'Alive': False, 'Birthyear': 'Unknown', 'Nationality': 'Italian', 'Deathyear': 'Unknown', 'Children': False}"
Guo Kan,"{'Name': 'Guo Kan', 'Gender': 'Male', 'Age': 'Unknown', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': 'Unknown', 'Nationality': 'Han chinese', 'Deathyear': 'Unknown', 'Children': False}"
Brad Henry,"{'Name': 'Brad Henry', 'Gender': 'Male', 'Age': '51', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1963', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Daniel Toroitich arap Moi,"{'Name': 'Daniel Toroitich arap Moi', 'Gender': 'Male', 'Age': '90', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': True}"
Lady Bird Johnson,"{'Name': 'Lady Bird Johnson', 'Gender': 'Female', 'Age': '95', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1912', 'Nationality': 'Unknown', 'Deathyear': '2007', 'Children': True}"
Gordon Browning,"{'Name': 'Gordon Browning', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1889', 'Nationality': 'Unknown', 'Deathyear': '1976', 'Children': False}"
S. J. Perelman,"{'Name': 'S. J. Perelman', 'Gender': 'Male', 'Age': '75', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1904', 'Nationality': 'Unknown', 'Deathyear': '1979', 'Children': False}"
Cathy Guetta,"{'Name': 'Cathy Guetta', 'Gender': 'Female', 'Age': '47', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1967', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Sergei Anatolyevich Starostin,"{'Name': 'Sergei Anatolyevich Starostin', 'Gender': 'Male', 'Age': '52', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1953', 'Nationality': 'Unknown', 'Deathyear': '2005', 'Children': False}"
Ahmad Ibn Hanbal,"{'Name': 'Ahmad Ibn Hanbal', 'Gender': 'Unknown', 'Age': 'Unknown', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': 'Unknown', 'Nationality': 'Unknown', 'Deathyear': 'Unknown', 'Children': False}"
Reginald Wingate,"{'Name': 'Reginald Wingate', 'Gender': 'Unknown', 'Age': '92', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1861', 'Nationality': 'Unknown', 'Deathyear': '1953', 'Children': False}"
Maya Soetoro-Ng,"{'Name': 'Maya Soetoro-Ng', 'Gender': 'Female', 'Age': '44', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1970', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
