,"{'Name': '', 'Gender': 'Male', 'Married': False, 'Profession': 'president', 'Alive': True, 'Nationality': 'Unknown', 'Children': False}"
Lal Krishna Advani,"{'Name': 'Lal Krishna Advani', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1927', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Arjun Kapoor,"{'Name': 'Arjun Kapoor', 'Gender': 'Male', 'Age': '29', 'Married': False, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1985', 'Nationality': 'Indian', 'Deathyear': False, 'Children': False}"
Lady Bird Johnson,"{'Name': 'Lady Bird Johnson', 'Gender': 'Female', 'Age': '95', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1912', 'Nationality': 'Unknown', 'Deathyear': '2007', 'Children': True}"
Gordon Browning,"{'Name': 'Gordon Browning', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1889', 'Nationality': 'Unknown', 'Deathyear': '1976', 'Children': False}"
S. J. Perelman,"{'Name': 'S. J. Perelman', 'Gender': 'Male', 'Age': '75', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1904', 'Nationality': 'Unknown', 'Deathyear': '1979', 'Children': False}"
Cathy Guetta,"{'Name': 'Cathy Guetta', 'Gender': 'Female', 'Age': '47', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1967', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Matthew Denn,"{'Name': 'Matthew Denn', 'Gender': 'Male', 'Age': '48', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1966', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Maya Soetoro-Ng,"{'Name': 'Maya Soetoro-Ng', 'Gender': 'Female', 'Age': '44', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1970', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
K. V. Raghunatha Reddy,"{'Name': 'K. V. Raghunatha Reddy', 'Gender': 'Male', 'Age': '78', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': '2002', 'Children': False}"
Donald J. Atwood Jr.,"{'Name': 'Donald J. Atwood Jr.', 'Gender': 'Male', 'Age': '70', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1924', 'Nationality': 'Unknown', 'Deathyear': '1994', 'Children': False}"
Condoleezza Rice,"{'Name': 'Condoleezza Rice', 'Gender': 'Female', 'Age': '60', 'Married': False, 'Profession': 'scientist', 'Alive': True, 'Birthyear': '1954', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
